date,temp_avg,temp_max,temp_min,precip_sum,station,de_martonne,aridity_class,aridity_code,spi3,dm_lag1,dm_lag2,dm_lag3,precip_roll3,temp_roll3,dm_roll3,dm_roll12,month,year,year_trend,month_sin,month_cos,wet_season
2020-07-01,24.08,41.44,8.05,0.0,Ammik,0.0,Hyper-arid,0,-0.3812467427576156,0.07952286282306165,12.865064695009242,37.48326639892905,9.733333333333333,20.436666666666667,4.314862519277425,45.110594098551445,7,2020,5,-0.4999999999999997,-0.8660254037844388,0
2020-08-01,23.05,39.14,10.17,4.2,Ammik,1.5249621785173981,Hyper-arid,0,-0.4191166323075373,0.0,0.07952286282306165,12.865064695009242,1.4666666666666668,22.436666666666667,0.5348283471134772,45.23767428009456,8,2020,5,-0.8660254037844385,-0.5000000000000004,0
2020-09-01,23.4,40.84,7.93,0.2,Ammik,0.07185628742514971,Hyper-arid,0,-0.4191166323075373,1.5249621785173981,0.0,0.07952286282306165,1.4666666666666668,23.51,0.5322728219808398,45.243662304046666,9,2020,5,-1.0,-1.8369701987210297e-16,0
2020-10-01,17.94,33.21,4.33,0.0,Ammik,0.0,Hyper-arid,0,-0.4191166323075373,0.07185628742514971,1.5249621785173981,0.0,1.4666666666666668,21.463333333333335,0.5322728219808398,43.61446952852142,10,2020,5,-0.8660254037844386,0.5000000000000001,1
2020-11-01,10.82,26.04,1.72,113.2,Ammik,65.24495677233429,Humid,4,-0.2526723596889299,0.0,0.07185628742514971,1.5249621785173981,37.800000000000004,17.386666666666667,21.772271019919803,47.957580115089236,11,2020,5,-0.5000000000000004,0.8660254037844384,1
2020-12-01,10.36,17.67,-1.17,6.2,Ammik,3.6542239685658156,Hyper-arid,0,-0.24351028963652954,65.24495677233429,0.0,0.07185628742514971,39.800000000000004,13.040000000000001,22.966393580300025,36.23473559505679,12,2020,5,-2.4492935982947064e-16,1.0,1
2021-01-01,11.45,18.98,0.87,0.0,Ammik,0.0,Hyper-arid,0,-0.24351028963652954,3.6542239685658156,65.24495677233429,0.0,39.800000000000004,10.876666666666665,22.966393580300025,21.180535053051372,1,2021,6,0.49999999999999994,0.8660254037844387,1
2021-06-01,26.05,28.59,16.91,8.0,Ammik,2.662968099861304,Hyper-arid,0,-0.40415191788861665,0.0,3.6542239685658156,65.24495677233429,4.733333333333333,15.953333333333333,2.105730689475697,14.167623800796816,6,2021,6,1.2246467991473532e-16,-1.0,0
2021-07-01,28.66,34.08,10.46,0.0,Ammik,0.0,Hyper-arid,0,-0.413619390276097,2.662968099861304,0.0,3.6542239685658156,2.6666666666666665,22.05333333333333,0.8876560332870919,10.298901771955443,7,2021,6,-0.4999999999999997,-0.8660254037844388,0
2021-08-01,23.68,40.21,9.94,0.0,Ammik,0.0,Hyper-arid,0,-0.413619390276097,0.0,2.662968099861304,0.0,2.6666666666666665,26.13,0.8876560332870919,7.175296238711355,8,2021,6,-0.8660254037844385,-0.5000000000000004,0
2021-09-01,19.65,36.95,5.05,198.8,Ammik,80.45868465430019,Humid,4,-0.12226556260976422,0.0,0.0,2.662968099861304,66.26666666666667,23.996666666666666,26.819561551433384,12.8080979019856,9,2021,6,-1.0,-1.8369701987210297e-16,0
2021-10-01,16.03,31.38,2.58,739.0,Ammik,340.68382635420664,Humid,4,1.0061960655108853,80.45868465430019,0.0,0.0,312.59999999999997,19.786666666666665,140.3808370028356,41.191789859600895,10,2021,6,-0.8660254037844386,0.5000000000000001,1
2021-11-01,11.87,25.19,-0.88,592.8,Ammik,325.26748971193416,Humid,4,1.9114085866880448,340.68382635420664,80.45868465430019,0.0,510.2,15.85,248.80333357348033,68.29741400226207,11,2021,6,-0.5000000000000004,0.8660254037844384,1
2021-12-01,7.09,20.66,-4.15,0.0,Ammik,0.0,Hyper-arid,0,1.607838665618512,325.26748971193416,340.68382635420664,80.45868465430019,443.93333333333334,11.663333333333334,221.9837720220469,68.17033382071897,12,2021,6,-2.4492935982947064e-16,1.0,1
2022-01-01,3.85,17.54,-7.65,0.0,Ammik,0.0,Hyper-arid,0,0.47937703749786215,0.0,325.26748971193416,340.68382635420664,197.6,7.603333333333333,108.4224965706447,68.16434579676687,1,2022,7,0.49999999999999994,0.8660254037844387,1
2022-02-01,6.66,20.77,-2.44,0.0,Ammik,0.0,Hyper-arid,0,-0.4258354836792976,0.0,0.0,325.26748971193416,0.0,5.866666666666667,0.0,68.16434579676687,2,2022,7,0.8660254037844386,0.5000000000000001,1
2022-03-01,5.55,22.59,-4.68,0.2,Ammik,0.15434083601286175,Hyper-arid,0,-0.42553008134421755,0.0,0.0,0.0,0.06666666666666667,5.353333333333333,0.051446945337601635,62.74012780207341,3,2022,7,1.0,6.123233995736766e-17,1
2022-04-01,15.47,30.14,-0.71,0.0,Ammik,0.0,Hyper-arid,0,-0.42553008134421755,0.15434083601286175,0.0,0.0,0.06666666666666667,9.226666666666667,0.051446945337601635,62.43560913802626,4,2022,7,0.8660254037844387,-0.4999999999999998,1
2022-05-01,17.01,34.84,2.34,0.0,Ammik,0.0,Hyper-arid,0,-0.42553008134421755,0.0,0.15434083601286175,0.0,0.06666666666666667,12.676666666666668,0.051446945337601635,62.43560913802626,5,2022,7,0.49999999999999994,-0.8660254037844387,1
2022-06-01,20.71,37.03,6.97,52.4,Ammik,20.475415174210355,Sub-humid,3,-0.345820071888334,0.0,0.0,0.15434083601286175,17.466666666666665,17.730000000000004,6.825138391403432,63.91997972755535,6,2022,7,1.2246467991473532e-16,-1.0,0
2022-07-01,22.93,38.0,10.34,0.0,Ammik,0.0,Hyper-arid,0,-0.345820071888334,20.475415174210355,0.0,0.0,17.466666666666665,20.21666666666667,6.825138391403432,63.91997972755535,7,2022,7,-0.4999999999999997,-0.8660254037844388,0
2022-08-01,23.2,40.43,6.65,2932.4,Ammik,1059.9036144578313,Humid,4,4.1319889650548225,0.0,20.475415174210355,0.0,994.9333333333334,22.28,360.12634321068055,152.2452809323746,8,2022,7,-0.8660254037844385,-0.5000000000000004,0
2022-09-01,20.86,39.91,5.26,0.6,Ammik,0.23331173039533373,Hyper-arid,0,4.052889760269099,1059.9036144578313,0.0,20.475415174210355,977.6666666666666,22.330000000000002,353.37897539607553,145.55983318871588,9,2022,7,-1.0,-1.8369701987210297e-16,0
2022-10-01,16.2,32.53,3.74,1729.4,Ammik,792.0916030534353,Humid,4,6.693703751705974,0.23331173039533373,1059.9036144578313,0.0,1554.1333333333332,20.08666666666667,617.4095097472206,183.17714791365162,10,2022,7,-0.8660254037844386,0.5000000000000001,1
2022-11-01,10.85,24.33,0.55,0.2,Ammik,0.11510791366906475,Hyper-arid,0,2.2162001170978987,792.0916030534353,0.23331173039533373,1059.9036144578313,576.7333333333333,15.969999999999999,264.1466742324999,156.08111609712952,11,2022,7,-0.5000000000000004,0.8660254037844384,1
2022-12-01,7.2,19.47,-2.72,35.4,Ammik,24.69767441860465,Sub-humid,3,2.2693401234018205,0.11510791366906475,792.0916030534353,0.23331173039533373,588.3333333333334,11.416666666666666,272.3014617952363,158.13925563201323,12,2022,7,-2.4492935982947064e-16,1.0,1
2023-01-01,6.19,17.95,-3.73,100.2,Ammik,74.26806670784435,Humid,4,-0.21846729815996843,24.69767441860465,0.11510791366906475,792.0916030534353,45.26666666666667,8.08,33.02694968003936,164.32826119100025,1,2023,8,0.49999999999999994,0.8660254037844387,1
2023-02-01,4.6,21.39,-5.31,196.4,Ammik,161.4246575342466,Humid,4,0.08113239255352471,74.26806670784435,24.69767441860465,0.11510791366906475,110.66666666666667,5.996666666666667,86.79679955356521,177.78031598552082,2,2023,8,0.8660254037844386,0.5000000000000001,1
2023-03-01,9.24,24.85,-3.0,110.4,Ammik,68.85654885654886,Humid,4,0.19565826820852975,161.4246575342466,74.26806670784435,24.69767441860465,135.66666666666666,6.6766666666666685,101.51642436621326,183.50549998723216,3,2023,8,1.0,6.123233995736766e-17,1
2023-04-01,13.33,28.44,-0.58,70.0,Ammik,36.00514359194171,Humid,4,0.14954251561144774,68.85654885654886,161.4246575342466,74.26806670784435,125.60000000000001,9.056666666666667,88.76211666091238,186.50592861989398,4,2023,8,0.8660254037844387,-0.4999999999999998,1
2023-05-01,17.68,33.75,4.02,10.8,Ammik,4.682080924855492,Hyper-arid,0,-0.13387085134280471,36.00514359194171,68.85654885654886,161.4246575342466,63.73333333333334,13.416666666666666,36.514591124448685,186.8961020302986,5,2023,8,0.49999999999999994,-0.8660254037844387,1
2023-06-01,19.98,35.62,4.46,0.4,Ammik,0.16010673782521684,Hyper-arid,0,-0.3018421356368121,4.682080924855492,36.00514359194171,68.85654885654886,27.066666666666666,16.996666666666666,13.61577708487414,185.20315966059982,6,2023,8,1.2246467991473532e-16,-1.0,0
2023-07-01,24.13,38.87,6.85,0.4,Ammik,0.14063873425139178,Hyper-arid,0,-0.40812214824465676,0.16010673782521684,4.682080924855492,36.00514359194171,3.866666666666667,20.596666666666668,1.6609421323107003,185.21487955512077,7,2023,8,-0.4999999999999997,-0.8660254037844388,0
2023-08-01,24.46,44.69,8.56,1.4,Ammik,0.48752176436448047,Hyper-arid,0,-0.4224760579934174,0.14063873425139178,0.16010673782521684,4.682080924855492,0.7333333333333334,22.85666666666667,0.262755745480363,96.93020516399854,8,2023,8,-0.8660254037844385,-0.5000000000000004,0
2023-09-01,20.83,36.44,6.34,2.0,Ammik,0.7784625364904314,Hyper-arid,0,-0.4200328393127773,0.48752176436448047,0.14063873425139178,0.16010673782521684,1.2666666666666666,23.14,0.4688743450354345,96.97563439783978,9,2023,8,-1.0,-1.8369701987210297e-16,0
2023-10-01,16.93,30.55,6.12,95.4,Ammik,42.5102116598589,Humid,4,-0.2749667301497709,0.7784625364904314,0.48752176436448047,0.14063873425139178,32.93333333333334,20.74,14.592065320237937,34.510518448375095,10,2023,8,-0.8660254037844386,0.5000000000000001,1
